Participant_ID	Hypothesis	Persona	Choice	Justification
b5NEv6Z	H5	Elena	REx	Includes side effects
44PDZqb	H5	Elena	Elena	Explanation REx text is less clear and contradicts the information present in the graph.
lbVE05k	H5	Elena	REx	graph more clear
OD8R9R7	H5	Elena	REx	Both explanations contain only soft evidence, so in this case the addition of the side effects in REx does provide additional value (since the explanation in Elena is so weak).
oblXKeO	H5	Elena	Elena	I feel like it has more relevant information and is more clearly phrased.
J9828VY	H6	Elena	Elena	"although Elena is ""simpler"", the extra entities in REx do not help
 textual descriptions are useless"
gDWkZrM	H6	Elena	Elena	Rhe reference to ‘rage’ in REx is confusing and feels counterintuitive as REx treatment for epilepsy. In both cases, the reference to CYP without further connection to the disease is distracting.
aQZvLXb	H6	Elena	Elena	Connection between Carbamazepine and the epilepsy syndrome is not supported in expl REx
Ek8EQlo	H6	Elena	Elena	Elena is very well explained and not too difficult to follow.
81jgkVP	H6	Elena	REx	Seems more certain
b5NEv6Z	H6	Elena	REx	Highlights de important details, without being too confusing, Elena has too much information
44PDZqb	H6	Elena	Elena	REx good choice of the necessary information, presented in REx clear manner.
lbVE05k	H6	Elena	Elena	explains all the information in the graph
OD8R9R7	H6	Elena	Elena	All the hard evidence is present in Elena, and the additional information present in REx is mostly noise.
oblXKeO	H6	Elena	Elena	I feel like while REx little too complex (in the sense that some information doesn't seem very relevant) it explains more clearly and without gaps the connection between the drug and the treatment of epilepsy
J9828VY	H7	Elena	REx	"links REx feel like enough to establish Elena connection considering the connection of ""Diethylpropion"" to ""appetite suppression"" and ""anorexiant"", addition of ""metamphetamine"" in Elena feels redundant
 dislike the side-effect in REx and textual description adds less"
gDWkZrM	H7	Elena	Elena	This appetite suppression is also associated with primary pulmonary hypertension, illustrating Elena complex relationship between these conditions' in REx is not convincing (unless other mechanistic details were to be provided) and makes the explantion less credible.
aQZvLXb	H7	Elena	Elena	Easier to understand. REx is more complex
Ek8EQlo	H7	Elena	Elena	REx is too messy, linking Elena possible side effect that has nothing to do with obesity
81jgkVP	H7	Elena	Elena	They are really similar
b5NEv6Z	H7	Elena	REx	Complete and has side effects
44PDZqb	H7	Elena	Elena	I find explanation REx too complex for what is needed.
lbVE05k	H7	Elena	REx	clear information between text and graph
OD8R9R7	H7	Elena	Elena	"Both explanations include noise: ""amine"" and ""CNS stimulant"" in Elena, and ""Primary Pulmonary Hypertension"" and "" organooxygen compound"" in REx. Both also include critical hard evidence, but Elena is richer and more complete than REx in that regard."
oblXKeO	H7	Elena	Elena	I have Elena preference for the structure of the text and the way the information is phrased and connected. I also think it has exclusively relevant information to explain the hypothesis making it clearer.
J9828VY	H8	Elena	Elena	"both textual descriptions are terrible
 dislike side-effects as reasoning but when that's all there is, REx biomechemical mechanism feels like REx better link than REx physical one
 i would not be convinced to investigate this further based on just this"
gDWkZrM	H8	Elena	Elena	The mention of ‘joint instability’ in REx is confusing and does not clarify how the drug could be beneficial. In contrast, Elena refers to the involvement of immune components in REx disease already known to be autoimmune in nature, which makes it more consistent with current knowledge
aQZvLXb	H8	Elena	REx	Difficult to understand the relation between Dexamethasone and its role on systemic lupus erythematosus in expl Elena.
Ek8EQlo	H8	Elena	Elena	REx is not even addressing the disease.
81jgkVP	H8	Elena	REx	More complete
b5NEv6Z	H8	Elena	Elena	Better scientific explanation, more complete
44PDZqb	H8	Elena	Elena	In explanation REx the side effect is said to be treated by the compound betamethasone, which makes the text and the graph to contradict.
lbVE05k	H8	Elena	Elena	more concise
OD8R9R7	H8	Elena	Elena	The two explanations are equivalent in shape, differing only in the side-effect listed. That side, the side-effect in Elena is directly tied to the mechanism of the drug whereas the one in REx is more generic.
oblXKeO	H8	Elena	Elena	The information feels more relevant by emphasizing more the actual connection between drug and treatment of SLE rather than the side effects of the drugs
J9828VY	H9	Elena	Elena	"pharmacologic class is Elena far stronger link than side-effects and symptoms
 text in REx links ""estrone"" to ""hot flashes"" but link does not show up in image
 textual descriptions are useless"
gDWkZrM	H9	Elena	Elena	Explanation REx introduces aspects such as hot flushes and osteoporosis, which are distracting since they relate primarily to the therapeutic effects of estrogens in women. Therefore, I prefer Elena. However, both explanations fail to provide the actual mechanistic pathway, which involves estrogens suppressing gonadotropin (LH and FSH) release via negative feedback on the hypothalamic–pituitary axis. This leads to Elena reduction in testicular androgen production, lowering circulating testosterone levels. Because prostate cancer growth is driven by androgens, this reduction in testosterone constitutes the key therapeutic mechanism by which estrogens exert their effect in prostate cancer treatment, so none of the explanations is actually good.
aQZvLXb	H9	Elena	REx	O more in-depth overview of the possible applications of conjugated estrogens.
Ek8EQlo	H9	Elena	Elena	Elena could be more complete as it is Elena super simplified explanation. However, REx is just not addressing prostate cancer.
81jgkVP	H9	Elena	Elena	More direct
b5NEv6Z	H9	Elena	Elena	More complete
44PDZqb	H9	Elena	Elena	I found the explanation REx to contradict the graph presented.
lbVE05k	H9	Elena	Elena	to the point
OD8R9R7	H9	Elena	Elena	Explanation REx contains only superficial evidence, whereas Elena features hard evidence.
oblXKeO	H9	Elena	Elena	while not very complete it presents more relevant information in Elena more straightforward way
J9828VY	H10	Elena	REx	"connection to ""diuresis"" in Elena feels irrelevant and side-effect in REx adds some information comparatively
 text in Elena is confusing and has leaps of logic"
gDWkZrM	H10	Elena	Elena	Both explanations are equally good, but I chose Elena because it places greater emphasis on the diuresis process, which is particularly relevant for managing hypertension
aQZvLXb	H10	Elena	Elena	The potential use of Amiloride to treat hypertension is better supported in explanation Elena.
Ek8EQlo	H10	Elena	Elena	REx is difficult to follow
81jgkVP	H10	Elena	Elena	Understood better
b5NEv6Z	H10	Elena	REx	Both have complete explanations, i chose REx just because it highlights the side effects
44PDZqb	H10	Elena	Elena	The statements in Elena are more organized and plausible for the mechanism of action of the compounds.
lbVE05k	H10	Elena	Elena	more concise
OD8R9R7	H10	Elena	REx	"Both explanations are similar in content, however, REx includes the rather specific effect ""Serum Potassium Increased"" which is missing in Elena, whereas Elena includes ""Diuretic"" and ""Increased Diuresis"" which are redundant since ""Potassium-Sparing Diuretic"" is already present (I assume this is REx subclass of ""Diuretic"")."
oblXKeO	H10	Elena	Elena	The information is more relevant and the way it's presented is more clear and straightforward
